Program,CatNo,L1,L2,L3,L4
PNC,Cat84,Product/Policy,Policy,Want to Talk a Phone Rep,Want to Talk a Phone Rep
PNC,Cat85,Process,Process,Authorization,Customer Did Not Authorize
PNC,Cat86,Process,Process,Change Plan / Program,Change Plan / Program
PNC,Cat87,Process,Process,Documents,Issue Related to Documents
PNC,Cat88,Process,Process,Error Messages,Error Messages
PNC,Cat89,Process,Process,Insurance,Issue related to Insurance
PNC,Cat90,Process,Process,Loan Extension Issue,Loan Extension Issue
PNC,Cat91,Process,Process,Payoff,Issue with Payoff
PNC,Cat92,Process,Process,Refund,Delayed Refund
PNC,Cat93,Process,Process,Refund,Need Refund
PNC,Cat94,Process,Process,Refund,Refund Denied
PNC,Cat95,Process,Process,Refund,Refund Policy Issue
PNC,Cat96,Process,Process,Scam / fraud,Scam / fraud
PNC,Cat97,Process,Process,Security code issue,Security code issue
PNC,Cat98,Process,Process,Statement,Issue Related to Statement
PNC,Cat99,Process,Process,Survey,Issue with Survey
PNC,Cat100,Process,Process,Title,Issue with Title
PNC,Cat101,Process,Process,Unfriendly process,Unfriendly process
PNC,Cat102,Process,Process,Verification,Issue related to Verification
PNC,Cat103,Process,Service,Hard to reach support,No way / Hard to Contact Customer Care
PNC,Cat104,Process,Shipping - Delivery,Product Not received,Product Not received
PNC,Cat105,Process,Updates /Notification Issues,Informed Incorrect Status / updates,Informed Incorrect Status / updates
PNC,Cat106,Process,Updates /Notification Issues,Misleading Information,Misleading Information
PNC,Cat107,Process,Updates /Notification Issues,No Communication Received,No Communication Received
PNC,Cat108,Process,Updates /Notification Issues,Not received Email,Not received Email
PNC,Cat109,Process,Updates /Notification Issues,Notification Issue,Notification Issue
PNC,Cat110,Product/Policy,Privacy Issue,Privacy Issue,Privacy Issue
PNC,Cat111,Product/Policy,Product,Cancelling service,Cancelling the Product / service
PNC,Cat112,Product/Policy,Product,Churn,Changing Service Provider
PNC,Cat113,Product/Policy,Product,Churn,Losing customers
PNC,Cat114,Product/Policy,Product,Churn,Not recommending Service
PNC,Cat115,Product/Policy,Product,Dissatisfied with Product,Dissatisfied with Product
PNC,Cat116,Product/Policy,Product,Marketing / Promotion / Discount Issue,Don’t Need Offer Calls / SMS / Email
PNC,Cat117,Product/Policy,Product,Marketing / Promotion / Discount Issue,Promotion / Discount Issue
PNC,Cat118,Product/Policy,Product,Marketing / Promotion / Discount Issue,Spam Emails issue
PNC,Cat119,Product/Policy,Product,Product Feature Issue,Need More Product Features
PNC,Cat120,Product/Policy,Product,Product Pricing / Rate Issue,Pricing Issue
PNC,Cat121,Product/Policy,Product,Purchase issue,Purchase issue
PNC,Cat122,Product/Policy,Product,Refinance,Issue with Refinance
PNC,Cat123,Product/Policy,Product,Dissatisfied with Plan,Dissatisfied with Plan
PNC,Cat124,Product/Policy,Service,Call back,Need Call Back
PNC,Cat125,Product/Policy,Service,Cx Harrasesment,Customer Being Threatened / Harassed
PNC,Cat126,Product/Policy,Service,Dissatisfied with Service,Bad / Poor - Service
PNC,Cat127,Product/Policy,Service,Dissatisfied with Service,Complicated Service
PNC,Cat128,Product/Policy,Service,Dissatisfied with Service,Improve Service
PNC,Cat129,Product/Policy,Service,Dissatisfied with Service,Issue with Phone Service
PNC,Cat130,Product/Policy,Service,Dissatisfied with Service,Not Reliable Service
PNC,Cat131,Product/Policy,Service,Dissatisfied with Service,Product / Service Not Working
PNC,Cat132,Product/Policy,Service,Escalation,Dissatisfied with Previous rep
PNC,Cat133,Product/Policy,Service,Escalation,Problem escalated
PNC,Cat134,Product/Policy,Service,Escalation,Supervisor Not Responding
PNC,Cat135,Product/Policy,Service,Hacking Issue,Hacking Issue
PNC,Cat136,Product/Policy,Service,Impacting Client / Business,Impacting Client / Business
PNC,Cat137,Product/Policy,Service,Incomplete Information,Customer Not Getting Information
PNC,Cat138,Product/Policy,Service,Legal Issues,Company Needs to take legal action
PNC,Cat139,Product/Policy,Service,Legal Issues,Customer will take legal action
PNC,Cat140,Product/Policy,Service,Service Not helpful,Service Not helpful
PNC,Cat141,Product/Policy,Service,Slow Service,Slow Service
PNC,Cat142,Technology,Website Issue,Browser Issue,Browser Issue
PNC,Cat143,Technology,App,Dissatisfied with App,App Error / Improve App
PNC,Cat144,Technology,Audio Quality,Audio Connection Issue,Audio Connection Issue
PNC,Cat145,Technology,Telecom Issues,Background Noise on Call,Background Noise on Call
PNC,Cat146,Technology,Telecom Issues,Call / Chat / Email Not Answered,Call / Chat / Email Not Answered
PNC,Cat147,Technology,Telecom Issues,Call dropped,Call dropped
PNC,Cat148,Technology,Telecom Issues,Chat Disconnection,Chat Disconnection
PNC,Cat149,Technology,Telecom Issues,Hearing Issue on call,Hearing Issue on call
PNC,Cat150,Technology,Telecom Issues,IVR - Automatic answering Issue,Automatic answering Issue
PNC,Cat151,Technology,Telecom Issues,Voice Breaking Issue,Voice Breaking Issue
PNC,Cat152,Technology,Website Issue,Improve Website,Improve Website
PNC,Cat153,Technology,Website Issue,Website Error,Website Error
PNC,Cat154,Agent Opportunity,FLEXING COMMUNICATION STYLE,Understanding,Hard to Understand
PNC,Cat155,Agent Opportunity,FLEXING COMMUNICATION STYLE,Issue understanding,Rep didn't understand issue
PNC,Cat156,Agent Opportunity,Agent Knowledge,Lack of Knowledge,Rep Asking Irrelevant Questions
PNC,Cat157,Agent Opportunity,FLEXING COMMUNICATION STYLE,Long Hold on Call,Long Hold / Long Wait on call / Chat
PNC,Cat158,Agent Opportunity,Agent Knowledge,Lack of Knowledge,Inconsistent information shared by Rep
PNC,Cat159,Agent Opportunity,FLEXING COMMUNICATION STYLE,Unprofessionalism,Rep Using Jargon
PNC,Cat160,Agent Opportunity,FLEXING COMMUNICATION STYLE,Unprofessionalism,Rep Mocking customer
PNC,Cat161,Agent Opportunity,Agent Behaviour,Convey Ownership,Rep Not accommodating / Argumentative
PNC,Cat162,Agent Opportunity,FLEXING COMMUNICATION STYLE,Active Listening,Rep Listening Issues
PNC,Cat163,Agent Opportunity,FLEXING COMMUNICATION STYLE,Voice Tone,Rep Sound Robotic
PNC,Cat164,Agent Opportunity,Resolution,Long Time to resolve,Long Time to resolve
PNC,Cat165,Agent Opportunity,Agent Behaviour,Account Documentation,Wrong Documentation by Rep
PNC,Cat166,Agent Opportunity,Agent Behaviour,Convey Ownership,No Call Back
PNC,Cat167,Agent Opportunity,Agent Behaviour,Convey Ownership,No Follow-up
PNC,Cat168,Agent Opportunity,Agent Behaviour,Convey Ownership,No Ownership by Rep
PNC,Cat169,Agent Opportunity,Agent Behaviour,Convey Ownership,Promised Not fulfilled
PNC,Cat170,Agent Opportunity,Agent Behaviour,Convey Ownership,Rep was not courteous
PNC,Cat171,Agent Opportunity,Agent Behaviour,Unprofessionalism,Dishonest Rep
PNC,Cat172,Agent Opportunity,Agent Behaviour,Unprofessionalism,Excessive Talking by Rep
