Program,CatNo,L1,L2,L3,L4
ATT DTV,Cat74,Process,Chat Handling,Diagnostics,Reschedule Appointment
ATT DTV,Cat78,Process,Chat Handling,Hold Script,Chat Hold Statements
ATT DTV,Cat169,Process,Chat Handling,Need Chat Transcript,Need Chat Transcript
ATT DTV,Cat115,Process,Chat Handling,Out of Scope,Out of Scope
ATT DTV,Cat10,Process,Chat Handling,Technician status,Technician status
ATT DTV,Cat174,Process,Chat Handling,Transfer to another department,Transfer to another department
ATT DTV,Cat160,Process,Chat Handling,Updates / Notification Issue,No Communication Received
ATT DTV,Cat80,Process,Chat Handling,Verification,Account is already Verified
ATT DTV,Cat98,Process,Customer,Customer not at home,Customer not at home
ATT DTV,Cat42,Process,Diagnostics,Equipment Related,Cancel New/Replacement Equipment Order
ATT DTV,Cat217,Process,Diagnostics,Equipment Related,Dish not Working
ATT DTV,Cat76,Process,Diagnostics,Equipment Related,Gemini Receiver
ATT DTV,Cat39,Process,Diagnostics,Equipment Related,New Equipment Request
ATT DTV,Cat216,Process,Diagnostics,Equipment Related,Receiver not Working
ATT DTV,Cat41,Process,Diagnostics,Equipment Related,Return Equipment
ATT DTV,Cat34,Process,Diagnostics,Equipment Related,TV remote issues
ATT DTV,Cat109,Process,Diagnostics,Paid Technician,Paid Technician
ATT DTV,Cat91,Process,Diagnostics,Picture freezing,Picture freezing
ATT DTV,Cat92,Process,Diagnostics,Screen went black,Screen went black
ATT DTV,Cat38,Process,Diagnostics,TV Issues,TV channels not working
ATT DTV,Cat35,Process,Diagnostics,TV Issues,TV connectivity issues
ATT DTV,Cat36,Process,Diagnostics,TV Issues,TV outage
ATT DTV,Cat158,Process,Dissatisfied with Process,Unfair Practices,Unfair Practices
ATT DTV,Cat155,Process,Escalation,Escalation - Above Supervisor level,Escalation - Above Supervisor level
ATT DTV,Cat152,Process,Escalation,Escalation/Complaint By Customer,Escalation/Complaint By Customer
ATT DTV,Cat1,Process,Payment Related,Billing Disputes,Billing Disputes
ATT DTV,Cat5,Process,Payment Related,Late Payment Fee,Late Payment Fee
ATT DTV,Cat2,Process,Payment Related,Make a Payment,Make a Payment
ATT DTV,Cat4,Process,Payment Related,Payment Extension,Payment Extension
ATT DTV,Cat7,Process,Payment Related,Pending payments,Pending payments
ATT DTV,Cat3,Process,Payment Related,Update Payment information,Update Payment information
ATT DTV,Cat9,Products and Services,Chat Drivers,Check Order,Check Order
ATT DTV,Cat8,Products and Services,Chat Drivers,Order assistance,Order assistance
ATT DTV,Cat75,Products and Services,Chat Drivers,Plan Related,Promotions/Discounts/Offers
ATT DTV,Cat101,Products and Services,Plan Related,Choice Package Plan,Choice Package Plan
ATT DTV,Cat100,Products and Services,Plan Related,Entertainment Package Plan,Entertainment Package Plan
ATT DTV,Cat183,Products and Services,Plan Related,Plan/Subscription Issues,Plan/Subscription Issues
ATT DTV,Cat117,Products and Services,Plan Related,PREFERRED XTRA Package,PREFERRED XTRA Package
ATT DTV,Cat106,Products and Services,Plan Related,Protection Plan Basic,Protection Plan Basic
ATT DTV,Cat108,Products and Services,Plan Related,Protection Plan Premier + ADH,Protection Plan Premier + ADH
ATT DTV,Cat116,Products and Services,Plan Related,Select Package Plan,Directv Select Package
ATT DTV,Cat102,Products and Services,Plan Related,Ultimate Package Plan,Ultimate Package Plan
ATT DTV,Cat178,Products and Services,Service Dissatisfaction,Bad / Poor - Service,Bad / Poor - Service
ATT DTV,Cat179,Products and Services,Service Dissatisfaction,Complicated Service,Complicated Service
ATT DTV,Cat177,Products and Services,Service Dissatisfaction,Feature unavailable/removed/request,Feature unavailable/removed/request
ATT DTV,Cat180,Products and Services,Service Dissatisfaction,Improve Service,Improve Service
ATT DTV,Cat181,Products and Services,Service Dissatisfaction,Not Reliable Service,Not Reliable Service
ATT DTV,Cat124,Technology,Technology,Bot Offering Agent Assistance,Bot Offering Agent Assistance
ATT DTV,Cat125,Technology,Technology,Bot transferred Chat to live agent,Bot transferred Chat to live agent
ATT DTV,Cat123,Technology,Technology,Identify Bot,Identify Bot
ATT DTV,Cat137,Technology,Technology,Link not working,Link not working
ATT DTV,Cat83,Technology,Technology,Need Live Agent,Need Live Agent
ATT DTV,Cat213,Technology,Technology,Phone Support,Phone Support
ATT DTV,Cat175,Technology,Technology,Prefer to Call,Prefer to Call
ATT DTV,Cat209,Technology,Technology,System/Server Down,System/Server Down
ATT DTV,Cat167,Technology,Technology,Unhappy with BOT,Unhappy with BOT
PPT Chat,Cat1,Greeting & Introduction,Greeting,Greeting - Intro & Brand Name,Greeting - Intro & Brand Name
PPT Chat,Cat2,Greeting & Introduction,Greeting,Offer of Assistance,Offer of Assistance
PPT Chat,Cat3,Greeting & Introduction,Account Details Verification,Capture Patient's Full Name,Capture Patient's Full Name
PPT Chat,Cat4,Greeting & Introduction,Account Details Verification,Capture Patient's Phone Number,Capture Patient's Phone Number
PPT Chat,Cat5,Greeting & Introduction,Account Details Verification,Capture Patient's Date of Birth,Capture Patient's Date of Birth
PPT Chat,Cat6,Greeting & Introduction,Treatment History Inquiry,Confirms Prior Treatment Details,Confirms Prior Treatment Details
PPT Chat,Cat7,Chat Handling Skills,Acknowledgement,Acknowledge Patient's Concern,Acknowledge Patient's Concern
PPT Chat,Cat8,Chat Handling Skills,Excessive Hold,Inform or Seek Hold Permission,Inform or Seek Hold Permission
PPT Chat,Cat9,Chat Handling Skills,Excessive Hold,Inform Reason for Hold,Inform Reason for Hold
PPT Chat,Cat10,Chat Handling Skills,Active Listening,Request to Repeat Information,Request to Repeat Information
PPT Chat,Cat11,Chat Handling Skills,Display Empathy,Display Empathy,Display Empathy
PPT Chat,Cat12,Chat Handling Skills,Probing,Ask Relevant Probing ,Ask Relevant Probing 
PPT Chat,Cat13,Scheduling Appointments,Email Confirmation,Capture Patient's Email Addres,Capture Patient's Email Address
PPT Chat,Cat14,Scheduling Appointments,Email Confirmation,Confirms Patient's Email Address,Confirms Patient's Email Address
PPT Chat,Cat15,Scheduling Appointments,Phone Confirmation,Confirms Patient's Phone Number,Confirms Patient's Phone Number
PPT Chat,Cat16,Scheduling Appointments,Address Confirmation,Capture Patient's Mailing Address,Capture Patient's Mailing Address
PPT Chat,Cat17,Scheduling Appointments,Address Confirmation,Confirms Patient's Mailing Address,Confirms Patient's Mailing Address
PPT Chat,Cat18,Scheduling Appointments,Zip Code Confirmation,Capture Patient's Zip Code ,Capture Patient's Zip Code 
PPT Chat,Cat19,Scheduling Appointments,Zip Code Confirmation,Confirms Patient's Zip Code,Confirms Patient's Zip Code
PPT Chat,Cat20,Scheduling Appointments,Preferred Slot Inquiry,Capture Patient's Preferred Slot,Capture Patient's Preferred Slot
PPT Chat,Cat21,Scheduling Appointments,Preferred Location Inquiry,Capture Patient's Preferred Location,Capture Patient's Preferred Location
PPT Chat,Cat22,Scheduling Appointments,Doctor Info Request,Capture Doctor's Referral Info,Capture Doctor's Referral Info
PPT Chat,Cat23,Scheduling Appointments,Confirm Doctor Listing,Inform Doctor is Listed,Inform Doctor is Listed
PPT Chat,Cat24,Scheduling Appointments,Confirm Doctor Listing,Inform Doctor is Not Listed,Inform Doctor is Not Listed
PPT Chat,Cat25,Scheduling Appointments,Capture Doctors Contact Info,Capture Doctor's Address,Capture Doctor's Address
PPT Chat,Cat26,Scheduling Appointments,Capture Doctors Contact Info,Capture Doctor's Phone Number,Capture Doctor's Phone Number
PPT Chat,Cat27,Scheduling Appointments,Confirm Body Part Impacted,Capture Body Part Impacted,Capture Body Part Impacted
PPT Chat,Cat28,Scheduling Appointments,Confirm Body Part Impacted,Capture Injury Side ,Capture Injury Side 
PPT Chat,Cat29,Scheduling Appointments,Past Surgery Inquiry,Capture Past Surgery Done,Capture Past Surgery Done
PPT Chat,Cat30,Scheduling Appointments,Past Surgery Inquiry,Capture Past Surgery Date,Capture Past Surgery Date
PPT Chat,Cat31,Scheduling Appointments,Capture Injury Claim Type,Capture Injury Source,Capture Injury Source
PPT Chat,Cat32,Scheduling Appointments,Capture Injury or Accident Details,Capture Date of Injury ,Capture Date of Injury 
PPT Chat,Cat33,Scheduling Appointments,Capture Injury or Accident Details,Capture Claim Number,Capture Claim Number
PPT Chat,Cat34,Scheduling Appointments,Capture Injury or Accident Details,Capture Adjustor's Name,Capture Adjustor's Name
PPT Chat,Cat35,Scheduling Appointments,Capture Member ID,Capture Member ID,Capture Member ID
PPT Chat,Cat36,Scheduling Appointments,Capture Name of Insurance Provider,Capture Name of Insurance Provider,Capture Name of Insurance Provider
PPT Chat,Cat37,Scheduling Appointments,Reconfirm Member ID,Reconfirms Member ID,Reconfirms Member ID
PPT Chat,Cat38,Scheduling Appointments,Confirm Insurance Network Details,Confirm Insurance is with Network,Confirm Insurance is with Network
PPT Chat,Cat39,Scheduling Appointments,Confirm Insurance Network Details,Confirm Insurance is Not with Network,Confirm Insurance is Not with Network
PPT Chat,Cat40,Scheduling Appointments,Provide Self Pay Rates,Provide Self-Pay Rates,Provide Self-Pay Rates
PPT Chat,Cat41,Scheduling Appointments,Document Reminder,Reminder to Carry Photo ID,Reminder to Carry Photo ID
PPT Chat,Cat42,Scheduling Appointments,Document Reminder,Reminder to Carry Insurance Card,Reminder to Carry Insurance Card
PPT Chat,Cat43,Scheduling Appointments,Document Reminder,Reminder to Carry Referral Document,Reminder to Carry Referral Document
PPT Chat,Cat44,Scheduling Appointments,Confirm Appointment Date & Time,Confirm Appointment Date & Time,Confirm Appointment Date & Time
PPT Chat,Cat45,Scheduling Appointments,Confirm Appointment Location,Confirm Appointment Location,Confirm Appointment Location
PPT Chat,Cat46,Customer Service,Professional & Courteous,Professional & Courteous,Professional & Courteous
PPT Chat,Cat47,Customer Service,Building Connection,Show Willingness to Help,Show Willingness to Help
PPT Chat,Cat48,Chat Closure,Closing,Thanking The Patient,Thanking The Patient
PPT Chat,Cat49,Chat Closure,Closing,Positive SignOff,Positive SignOff
PPT Chat,Cat50,Autofails,Profanity - Improper Communication,Agent Rude Behaviour,Agent Rude Behaviour
PPT Chat,Cat51,Chat Driver,Insurance Inquiry,Insurance Inquiry,Insurance Inquiry
PPT Chat,Cat52,Chat Driver,Reschedule Appointment,Reschedule Appointment,Reschedule Appointment
PPT Chat,Cat53,Chat Driver,Cancel Appointment,Cancel Appointment,Cancel Appointment
PPT Chat,Cat54,Chat Driver,Location Inquiry,Location Inquiry,Location Inquiry
PPT Chat,Cat55,Chat Driver,Billing Inquiry,Billing Inquiry,Billing Inquiry
PPT Chat,Cat57,Chat Driver,Appointment Booking Request,Appointment Booking Request,Appointment Booking Request
PPT Chat,Cat58,Chat Driver,Patient Portal Assistance,Patient Portal Assistance,Patient Portal Assistance
PPT Chat,Cat64,Patient Complaint,Payment Issue,Payment Issue,Payment Issue
PPT Chat,Cat65,Patient Complaint,Unhappy with Therapist,Unhappy with Therapist,Unhappy with Therapist
PPT Chat,Cat66,Patient Complaint,Followup Missing,Followup Missing,Followup Missing
PPT Chat,Cat67,Patient Complaint,Email Not Received,Email Not Received,Email Not Received
PPT Chat,Cat68,Patient Complaint,Poor Clinic Condition,Poor Clinic Condition,Poor Clinic Condition
PPT Chat,Cat69,Patient Complaint,PT - Did Not Show,PT - Did Not Show,PT - Did Not Show
PPT Chat,Cat70,Patient Complaint,PT - Did Not Treat Well,PT - Did Not Treat Well,PT - Did Not Treat Well
PPT Chat,Cat71,Patient Complaint,Unhappy with Outsourcing ,Unhappy with Outsourcing ,Unhappy with Outsourcing 
PPT Chat,Cat72,Patient Complaint,Appointment Modified - No Notification,Appointment Modified - No Notification,Appointment Modified - No Notification
PPT Chat,Cat73,Patient Complaint,Issues Sending Referral,Issues Sending Referral,Issues Sending Referral
PPT Chat,Cat74,Patient Complaint,Unhappy with Medical Advertisement,Unhappy with Medical Advertisement,Unhappy with Medical Advertisement
PPT Chat,Cat76,Notification,Disconnection Notification,Disconnection Notification,Disconnection Notification
PPT Chat,Cat87,Customer Input,Health Concern Reported,Health Concern Reported,Health Concern Reported
PPT Chat,Cat88,Service,Offer Further Assistance,Offer Further Assistance,Offer Further Assistance
PPT Chat,Cat89,Chat Driver,New Patient Appointment Request,New Patient Appointment Request,New Patient Appointment Request
Lenovo,Cat1,People,Knowledge ,Technician Competence & Training,Technician Competence & Training
Lenovo,Cat2,People,Communication and Soft Skills,Excessive Talking by Tech,Excessive Talking by Tech
Lenovo,Cat3,People,Communication and Soft Skills,Communication Problem,Communication Problem
Lenovo,Cat4,People,Communication and Soft Skills,Hard to Understand Tech,Hard to Understand Tech
Lenovo,Cat5,People,Behavior,Long Hold on Call,Long Hold on Call
Lenovo,Cat6,People,Communication and Soft Skills,Multiple Holds,Multiple Holds
Lenovo,Cat7,People,Communication and Soft Skills,Rate of Speech,Rate of Speech
Lenovo,Cat8,People,Knowledge ,Tech Could Not Explain,Tech Could Not Explain
Lenovo,Cat9,People,Behavior,Tech Disconnected / Hung Up,Tech Disconnected / Hung Up
Lenovo,Cat10,People,Communication and Soft Skills,Tech In Rush,Tech In Rush
Lenovo,Cat11,People,Communication and Soft Skills,Tech Interrupted Customer,Tech Interrupted Customer
Lenovo,Cat12,People,Communication and Soft Skills,Tech Had Listening Issues,Tech Had Listening Issues
Lenovo,Cat13,People,Communication and Soft Skills,Tech had Pronunciation Issue,Tech had Pronunciation Issue
Lenovo,Cat14,Process,Resolution,Customer Was Not Getting Information,Customer Was Not Getting Information
Lenovo,Cat15,People,Knowledge ,Tech Had No Knowledge,Tech Had No Knowledge
Lenovo,Cat16,People,Knowledge ,Tech Shared Wrong / Incomplete Information,Tech Shared Wrong / Incomplete Information
Lenovo,Cat17,People,Behavior,Argumentative Tech,Argumentative Tech
Lenovo,Cat18,People,Ownership ,Tech Not Helpful,Tech Not Helpful
Lenovo,Cat19,People,Ownership ,Rude - Tech,Rude - Tech
Lenovo,Cat20,People,Ownership ,Unprofessional - Tech,Unprofessional - Tech
Lenovo,Cat21,People,Knowledge ,Tech Asking Irrelevant Questions,Tech Asking Irrelevant Questions
Lenovo,Cat22,People,Knowledge ,Poor Technician Explanation,Poor Technician Explanation
Lenovo,Cat23,Positive Feedback,Appreciating Services,Positive Feedback on In-Home Service,Positive Feedback on In-Home Service
Lenovo,Cat24,Positive Feedback,Appreciating Services,Positive Feedback on Depot Service,Positive Feedback on Depot Service
Lenovo,Cat25,Positive Feedback,Appreciating Product,Product Reliability (Positive),Product Reliability (Positive)
Lenovo,Cat26,Positive Feedback,Communication and Soft Skills,Effective Communication,Effective Communication
Lenovo,Cat27,Positive Feedback,Communication and Soft Skills,Clear Explanation by Tech,Clear Explanation by Tech
Lenovo,Cat28,Positive Feedback, Professionalism,Courteous Tech,Courteous Tech
Lenovo,Cat29,Positive Feedback, Professionalism,Efficient Tech,Efficient Tech
Lenovo,Cat30,Positive Feedback,Communication and Soft Skills,Excellent Tone,Excellent Tone
Lenovo,Cat31,Positive Feedback,Communication and Soft Skills,Good Listening Skills,Good Listening Skills
Lenovo,Cat32,Positive Feedback, Professionalism,Patient Tech,Patient Tech
Lenovo,Cat33,Positive Feedback,Communication and Soft Skills,Tech has Clear Understanding,Tech has Clear Understanding
Lenovo,Cat34,Positive Feedback,Knowledge ,Knowledgeable Tech,Knowledgeable Tech
Lenovo,Cat35,Positive Feedback, Professionalism,Calm Tech,Calm Tech
Lenovo,Cat36,Positive Feedback, Professionalism,Excellent Tech,Excellent Tech
Lenovo,Cat37,Positive Feedback, Professionalism,Good Attention by Tech,Good Attention by Tech
Lenovo,Cat38,Positive Feedback, Professionalism,Kind Tech,Kind Tech
Lenovo,Cat39,Positive Feedback, Professionalism,Nice Tech,Nice Tech
Lenovo,Cat40,Positive Feedback, Professionalism,Pleasant Tech,Pleasant Tech
Lenovo,Cat41,Positive Feedback, Professionalism,Polite Tech,Polite Tech
Lenovo,Cat42,Positive Feedback,Knowledge ,Quick / Prompt Tech,Quick / Prompt Tech
Lenovo,Cat43,Technology,Audio Quality,Background Noise on Call,Background Noise on Call
Lenovo,Cat44,Technology,Audio Quality,Hearing Issue on call,Hearing Issue on call
Lenovo,Cat45,Technology,Audio Quality,Call Disconnection/Dropped,Call Disconnection/Dropped
Lenovo,Cat46,Technology,Call Not Answered,Call Not Answered,Call Not Answered
Lenovo,Cat47,People,Customer,Impacting Client / Business,Impacting Client / Business
Lenovo,Cat48,People,Customer,Vulnerability Mentions,Vulnerability Mentions
Lenovo,Cat49,People,Customer,Customer Loyalty,Customer Loyalty
Lenovo,Cat50,People,Customer,Self-Help Guidance,Self-Help Guidance
Lenovo,Cat51,People,Customer,Customer Satisfaction (Mixed),Customer Satisfaction (Mixed)
Lenovo,Cat52,People,Customer,Expectation vs Reality (Mild Concern),Expectation vs Reality (Mild Concern)
Lenovo,Cat53,Process,BOT Related,AI Support,AI Support
Lenovo,Cat54,Product & Services,Appreciating Product,Product Quality Appreciation,Product Quality Appreciation
Lenovo,Cat55,Process,Appreciating Process,Easy to Connect/Call,Easy to Connect/Call
Lenovo,Cat56,Product & Services,Appreciating Product,Customer Will Recommend Services,Customer Will Recommend Services
Lenovo,Cat57,Process,Appreciating Process,Professional Services,Professional Services
Lenovo,Cat58,Process,Appreciating Process,Timely Services,Timely Services
Lenovo,Cat59,Process,Process Dissatisfaction,Unfriendly Practices,Unfriendly Practices
Lenovo,Cat60,Process,Process Dissatisfaction,Time Delay,Time Delay
Lenovo,Cat61,Process,Process Dissatisfaction,Improve Services,Improve Services
Lenovo,Cat62,Process,Process Dissatisfaction,Service Accessibility & Logistics Issues,Service Accessibility & Logistics Issues
Lenovo,Cat63,Product & Services,Product Dissatisfaction,Evaluation/Testing Process Concerns,Evaluation/Testing Process Concerns
Lenovo,Cat64,Process,Ownership ,Follow-up,Follow-up
Lenovo,Cat65,Product & Services,Product Dissatisfaction,Post-Service Issues (Accessories / Setup),Post-Service Issues (Accessories / Setup)
Lenovo,Cat66,Process,Process Dissatisfaction,Delayed Service Appointments,Delayed Service Appointments
Lenovo,Cat67,Process,Process Dissatisfaction,Process Dissatisfaction / Escalation Tone,Process Dissatisfaction / Escalation Tone
Lenovo,Cat68,Process,Ownership ,Scheduling Flaws/Broken Communication,Scheduling Flaws/Broken Communication
Lenovo,Cat69,Product & Services,Product Dissatisfaction,Fixing the System (Suggestions & Frustration),Fixing the System (Suggestions & Frustration)
Lenovo,Cat70,People,Knowledge ,Technician Competence (Negative),Technician Competence (Negative)
Lenovo,Cat71,Process,Process Dissatisfaction,Third-Party Service Issues (Negative),Third-Party Service Issues (Negative)
Lenovo,Cat72,Process,Process Dissatisfaction,Service Commitments,Service Commitments
Lenovo,Cat73,Process,Resolution,Resolution Denied or Blocked,Resolution Denied or Blocked
Lenovo,Cat74,Product & Services,Service Issues,Unhappy with Premium Support ,Unhappy with Premium Support 
Lenovo,Cat75,Process,Complaint Handling,Escalation to Depot,Escalation to Depot
Lenovo,Cat76,Product & Services,Service Issues,Delayed Repair Process,Delayed Repair Process
Lenovo,Cat77,People,Knowledge ,Repeated Troubleshooting ,Repeated Troubleshooting 
Lenovo,Cat78,Product & Services,Service Issues,Complicated Services,Complicated Services
Lenovo,Cat79,Process,Resolution,Issue Not Resolved,Issue Not Resolved
Lenovo,Cat80,Process,Process Dissatisfaction,Service Communication Clarity,Service Communication Clarity
Lenovo,Cat81,People,Resolution,Unhappy with Home Repair,Unhappy with Home Repair
Lenovo,Cat82,Process,Ownership ,No Call Back Made,No Call Back Made
Lenovo,Cat83,Process,Process Dissatisfaction,Repeat Caller ,Repeat Caller 
Lenovo,Cat84,Process,Complaint Handling,Escalation to Supervisor / Manager,Escalation to Supervisor / Manager
Lenovo,Cat85,Process,Process Dissatisfaction,Unfriendly Process,Unfriendly Process
Lenovo,Cat86,Process,Process Dissatisfaction,Refund Mentions,Refund Mentions
Lenovo,Cat87,Process,Process Dissatisfaction,No Communication (Call/Email/Letter),No Communication (Call/Email/Letter)
Lenovo,Cat88,Product & Services,Service Issues,Unable to Self Serve,Unable to Self Serve
Lenovo,Cat89,People,Resolution,Incorrect/Multiple Transfer,Incorrect/Multiple Transfer
Lenovo,Cat90,Process,Hard to Contact,Difficulty Contacting Customer Services,Difficulty Contacting Customer Services
Lenovo,Cat91,Process,Process Dissatisfaction,Scam /Fraud Mentions,Scam /Fraud Mentions
Lenovo,Cat92,Process,Process Dissatisfaction,Unsatisfactory Services,Unsatisfactory Services
Lenovo,Cat93,Process,Process Dissatisfaction,Not Reliable Services,Not Reliable Services
Lenovo,Cat94,Product & Services,Service Issues,Packaging Quality Issues,Packaging Quality Issues
Lenovo,Cat95,People, Professionalism,Onsite Technician No-Show,Onsite Technician No-Show
Lenovo,Cat96,Product & Services,Service Issues,Unsuccessful Remote Fix Attempt,Unsuccessful Remote Fix Attempt
Lenovo,Cat97,Process,Shipping Related,Shipping Label Delays or Missing,Shipping Label Delays or Missing
Lenovo,Cat98,People,Knowledge ,Confusing Call Scheduling,Confusing Call Scheduling
Lenovo,Cat99,Process,Shipping Related,Shipment Left Unattended,Shipment Left Unattended
Lenovo,Cat100,Process,Process Dissatisfaction,Replacement Refused,Replacement Refused
Lenovo,Cat101,People,Behavior,Customer Threatened After Issue,Customer Threatened After Issue
Lenovo,Cat102,Process,Process Dissatisfaction,Call Center AI Bot Impression,Call Center AI Bot Impression
Lenovo,Cat103,People,Knowledge ,Unclear Service Instructions,Unclear Service Instructions
Lenovo,Cat104,Process,Process Dissatisfaction,Prohibition of Packaging Reuse,Prohibition of Packaging Reuse
Lenovo,Cat105,Process,Keep Customer Informed,Missing Repair Status Updates,Missing Repair Status Updates
Lenovo,Cat106,Process,Shipping Related,Pre-paid Shipping Label Delays,Pre-paid Shipping Label Delays
Lenovo,Cat107,Process,Process Dissatisfaction,Refund Declined,Refund Declined
Lenovo,Cat108,Process,Process Dissatisfaction,Repair Needs Retesting,Repair Needs Retesting
Lenovo,Cat109,Process,Process Dissatisfaction,Multiple Repairs for Same Issue,Multiple Repairs for Same Issue
Lenovo,Cat110,Process,Appointment Related,Last Minute Onsite Schedule,Last Minute Onsite Schedule
Lenovo,Cat111,Process,Shipping Related,Dissatisfaction with FedEx Service,Dissatisfaction with FedEx Service
Lenovo,Cat112,People,Ownership ,Customer Service Follow-up Missing,Customer Service Follow-up Missing
Lenovo,Cat113,Process,Shipping Related,Shipping Arrived,Shipping Arrived
Lenovo,Cat114,Product & Services,Website & Portal ,Pop Up and Adds,Pop Up and Adds
Lenovo,Cat115,Process,Contact Channel,Prefer Call than Chat,Prefer Call than Chat
Lenovo,Cat116,Process,Extended Support,Other Language Support,Other Language Support
Lenovo,Cat117,Process,Limited Services,Lack of Service Center ,Lack of Service Center 
Lenovo,Cat118,Process,Shipping Related,Shipping and Return ,Shipping and Return 
Lenovo,Cat119,People,Resolution,Long Time to Resolve,Long Time to Resolve
Lenovo,Cat120,Process,Process Dissatisfaction,Long Wait,Long Wait
Lenovo,Cat121,Process,Resolution,Not happy with Solution,Not happy with Solution
Lenovo,Cat122,Process,Resolution,Issue Resolved,Issue Resolved
Lenovo,Cat123,People,Communication and Soft Skills,Language Barrier,Language Barrier
Lenovo,Cat124,Product & Services,Service Issues,Incomplete or Insufficient Repair,Incomplete or Insufficient Repair
Lenovo,Cat125,Product & Services,Product Dissatisfaction,Hardware Malfunction – Audio & Display,Hardware Malfunction – Audio & Display
Lenovo,Cat126,Product & Services,Service Issues,Safety Risk Concerns,Safety Risk Concerns
Lenovo,Cat127,Product & Services,Service Issues,Missing Parts After Repair,Missing Parts After Repair
Lenovo,Cat128,Product & Services,Product Dissatisfaction,Brand Trust Concerns,Brand Trust Concerns
Lenovo,Cat129,People,Knowledge ,Data Loss During Repair,Data Loss During Repair
Lenovo,Cat130,Process,Shipping Related,Inadequate Shipping Box,Inadequate Shipping Box
Lenovo,Cat131,Product & Services,Product Dissatisfaction,Physical Damage Post-Repair,Physical Damage Post-Repair
Lenovo,Cat132,Product & Services,Product Dissatisfaction,Forced Reboot Required,Forced Reboot Required
Lenovo,Cat133,Product & Services,Product Dissatisfaction,Repeated Software Crashes,Repeated Software Crashes
Lenovo,Cat134,People,Behavior,Customer Data Wiped Without Notice,Customer Data Wiped Without Notice
Lenovo,Cat135,Process,Shipping Related,Packaging Damage Caused by Repair,Packaging Damage Caused by Repair
Lenovo,Cat136,Process,Shipping Related,Wrong Repair Parts Sent,Wrong Repair Parts Sent
Lenovo,Cat137,Process,Shipping Related,Lost Accessories in Return,Lost Accessories in Return
Lenovo,Cat138,Product & Services,Service Issues,Poor Repair Quality,Poor Repair Quality
Lenovo,Cat139,Product & Services,Privacy ,Privacy Concerns from Camera,Privacy Concerns from Camera
Lenovo,Cat140,Product & Services,Product Dissatisfaction,Software Updates Causing Lags,Software Updates Causing Lags
Lenovo,Cat141,Process,Shipping Related,Lost Premium Packaging,Lost Premium Packaging
Lenovo,Cat142,Product & Services,Product Issues,System/Desktop/Laptop Issues,System/Desktop/Laptop Issues
Lenovo,Cat143,Product & Services,Service Issues,Troubleshooting - General,Troubleshooting - General
Lenovo,Cat144,Product & Services,Product Issues,Product Quality & Reliability Concerns,Product Reliability 
Lenovo,Cat145,Product & Services,Product Issues,Hardware/Product Failure,Hardware/Product Failure
Lenovo,Cat146,Product & Services,Product Issues,Hardware/Product Failure (Post Repair),Hardware/Product Failure (Post Repair)
Lenovo,Cat147,Product & Services,Product Issues,Lenovo Models & Accessories,Lenovo Models & Accessories
Lenovo,Cat148,Product & Services,Product Issues,Parts Replacement ,Parts Replacement 
Lenovo,Cat149,Product & Services,Product Issues,Full Replacement,Full Replacement
Lenovo,Cat150,Product & Services,Warranty Related,Warranty Validation ,Warranty Validation 
Lenovo,Cat151,Product & Services,Warranty Related,Warranty Denial,Warranty Denial
Lenovo,Cat152,Product & Services,Warranty Related,Warranty and Support ,Warranty and Support 
Lenovo,Cat153,Product & Services,Warranty Related,Warranty Extension Requests,Warranty Extension Requests
Lenovo,Cat154,Product & Services,Warranty Related,In-warranty,In-warranty
Lenovo,Cat155,Product & Services,Warranty Related,Out of warranty,Out of warranty
Lenovo,Cat156,Product & Services,Warranty Related,Warranty Voided,Warranty Voided
Lenovo,Cat157,Product & Services,Warranty Related,Warranty Exclusions,Warranty Exclusions
Lenovo,Cat158,Product & Services,OS Related,Windows Issues,Windows Issues
Lenovo,Cat159,Technology,Website & Portal ,Difficult To Use / Navigate,Difficult To Use / Navigate
Lenovo,Cat160,Technology,Website & Portal ,Web Login Issues,Web Login Issues
Lenovo,Cat161,Product & Services,Competitor Related,Competitor Mentions,Competitor Related
Lenovo,Cat162,Product & Services,Service Issues,Premium Care,Premium Care
Lenovo,Cat163,Technology,Website & Portal ,Lenovo Vantage,Lenovo Vantage
Expedia Hotel,Cat1,People Driven,Accuracy - Knowledge,Need Training,Training Need of Representative
Expedia Hotel,Cat2,People Driven,Communication and Soft Skills,Rude/Unprofessionalism,Rude or Unprofessional Behavior
Expedia Hotel,Cat3,People Driven,Communication and Soft Skills,Inappropriate Behavior,Lack of Assurance
Expedia Hotel,Cat4,People Driven,Ownership Issues,No Ownership,Lack of Ownership
Expedia Hotel,Cat5,People Driven,Communication and Soft Skills,Pushy Sales,Pushy Sales
Expedia Hotel,Cat6,People Driven,Communication and Soft Skills,Rep Accent Issues,Accent Issues
Expedia Hotel,Cat7,People Driven,Communication and Soft Skills,Voice Tone issue,Concern Around Tone of Voice
Expedia Hotel,Cat8,People Driven,Communication and Soft Skills,Talk Over by Rep / Interruption,Talk Over by / Interruption
Expedia Hotel,Cat9,People Driven,Communication and Soft Skills,Wrong Documentation by Rep,Wrong Documentation by Rep
Expedia Hotel,Cat10,People Driven,Communication and Soft Skills,Issue with Understanding the communication,Rep Communication and Comprehension Issues
